id,content,summary
bbc_2288,"Pintu i dang laho Godang mangurupi tu manjaga asa dang ngali, alai i dang bou di lupahon alani habagakan i",Pintu i manjaga asa dang ngali.
bbc_702,"Hubereng ompunghu, na naung dipamate huhut ditanom",Ibana bereng ompungna na nunga mate.
bbc_6951,baoana Joujou dolidoli matua ni di mangido panumpakna,Baoana mangido panumpakna.
bbc_2775,Inantana dang mamakke baju manang aha pe.,Inantana dang mamakke baju.
bbc_2359,"Au, nang patut mandapothon nang lobi denggan, tingki au tong poso, ro tu kota dohot sabiji Nipi",Ibana ro tu kota dohot sabiji Nipi.
bbc_2591,"Lao mamonanghonna,omakna paboahon ibana molo Godang ni bintang i langit naeng tamba,ro holan alani haporluanna.",Omakna paboahon ala bintang di langit.
bbc_2928,"Au mambaen goar anakku songon goar kota on, jala muse,marururtan,ibana ma gabe i tanda gabe York.",Ibana mambaen goar anakna songon kota.
bbc_5463,"Dung tolo pulu taon mangajar, dang boi tarbayanghonhu i ma laho mangulahon na asing sian on.",Ibana dang boi mangulahon na asing.
bbc_6041,dungkon dipabontar gabe umtiur ma obuk na i,Obuk na i gabe umtiur.
bbc_5343,"ibana mandok, ""au mangalean tanda on tu sundut ta, mardongan bagabaga on manogu nasida"".",Ibana mangalean tanda tu sundut.
bbc_4548,Panghophopon dohot kerja kerasna ujungna mangangkat ibana tu posisi pustakawan.,Ibana gabe pustakawan ala kerja keras.
bbc_3850,nasida mangaehon haadongan  manang pangaluan hagogoon na lobi timbo songon tangan na dilehon mamintor sian roha manaruhon tangiang nasida tu langit,Nasida mangaehon haadongan hagogoon na timbo.
bbc_5644,Dung di paboa ibana rahasia na i tor hatop ma tarbarita tu sude jolma,Rahasia na dipaboa gabe barita tu sude jolma.
bbc_6680,"Tu halak narame, Kapala Paddita i mandok, Nungga saling manudu hami, dang habonaran on.",Kapala Paddita mandok habonaran tu halak na rame.
bbc_3967,ibana ndada giot Mangarbis ise pe dohot aha na naeng ibana Olohon,Ibana ndang giot mangarbis ise pe manang aha pe.
bbc_1032,"Nang pe molo so hea namasa i tarjadi, ngolu ni nasida naing pinjil",Ngolu nasida naeng pinjil nang pe so hea masa.
bbc_2870,Ho dang ro nadao on ima holan alani tindang jala tarhatontong dang i?,Ro alani tindang jala tarhatontong.
bbc_6584,Imana mamarettahon laho paluahon naung salpu jala masuk tu bagas joro.,Mamarettahon paluahon na salpu tu bagas joro.
bbc_4224,Ibana pahabishon godangan tingkina pakawinhon pidong dohot manillik sapunguan hambing na punasana.,Pahabishon tingki pakawinhon pidong dohot manillik hambing.
bbc_2511,"Malua sian pambahenanna,ibana dietong sah secara uhum ibaen parhundul kota i.","Malua sian pambahenanna, dietong sah secara uhum."
bbc_1163,"Halongangan i timbul di adopan Samuel, alai ibana tarago angkup anganangan, jala porsea ala i adongma partinandaan debata.","Halongangan di adopan Samuel, porsea adong partinandaan debata."
bbc_693,"Siganup tumbur na hea imbur huhut ijo saonari melos huhut matutung, sada saksi bisu olap hatasakan bura angin purba","Tumbur na ijo saonari matutung, gabe saksi bisu."
bbc_7933,Halaki porsea molo simaria hera jolma na terpilit di gombaran i,Porsea adong jolma na terpilit di gombaran.
bbc_3235,"Angka adong tugugaan di humaliang hu, au manghilala haroroan jahoba na manogu ahu, pinjil  huhut pandelaan Hu jolo.","Manghilala haroroan Jahowa, pinjil tu jolo."
bbc_942,Ibana tongtong mandophon molo parkarejona ima turpuk na ringkot sian bisnisna,Tongtong mandophon parkarejo ringkot sian bisnis.
bbc_6291,Harbangan na dia do tu porlak?,Manungkun harbangan na dia tu porlak.
bbc_4468,"Di balik ni pintu i adong sada ruangan di dia ibana giot mangajar, sada inganan na di tingkina naeng gabe inganan parlinggoman tu nasida na giot marsiajar.",Ruangan giot mangajar gabe inganan parlinggoman.
bbc_6206,"Alai halak i, na sai girgir i mangajar, ndang hea marisuang ulaon na i","Ndang marisuang mangajar, sai girgir do."
bbc_2260,Parmahan ni ingkon haop paluahon nasida sian mara anggo,Parmahan paluahon sian mara.
bbc_5480,"Ndang adong na laho anggo sada, alana um godang do hasonangan di borngin on.","Ndang adong na laho, godang hasonangan di borngin."
bbc_4496,"Alani dilana torgang dibagasan hasonggotan, ibana dang boimangartikulasihon pikkiranna, jala jarijarina songon lupa cara manurat.","Dang boi mangartikulasihon pikiran, jarijari lupa manurat."
bbc_2888,"Alai huhut mardalanna borngin, parpunguan nungga mulai hurang,holan tinggal piga piga jolma na rap marsitandaan burju.","Parpunguan hurang, holan piga jolma na rap marsitandaan."
bbc_5900,"Parau i, i ma gabe tanda monumental asa martahan do parngoluan, ai i do bagian ni nauli di portibion",Parau gabe tanda monumental ni parngoluan.
bbc_2875,"Lao manjaga semangat parpunguan,Samuel mandaftarhon tanona sandiri lao ulaon i,jala sude jolma, dang lobian,di tonggo hu sinagoga.",Samuel mandaftarhon tanona lao manjaga semangat parpunguan.
bbc_5237,"Molo mambuka pintu, marnida ma ibana tu sude na adong di bagasanna.",Marnida sude na adong di bagasan molo mambuka pintu.
bbc_6687,"Suarani bulung-bulung na ni ullus ni alogo i mambaen sonang, na sering hian hutanggapi dohot tarikan ni hosa na macca bagas.","Suara bulung-bulung mambaen sonang, ditanggapi dohot hosa."
bbc_1060,Ibana ma jolma na naung boi mambege serbeng ende nangpe di tonga ringoan.,Jolma na boi mambege serbeng ende di tonga ringoan.
bbc_7441,Tim i mardalan tu parlumbaan dohot marsitutu.,Tim mardalan tu parlumbaan dohot marsitutu.
bbc_3649,"Ibana ndang holan mora, alai musem denggan roha, jalaibana malangke aha na diarihon Sa di mangurupi nasida na mamorluhon","Mora jala denggan roha, malangke mangurupi na mamorluhon."
bbc_7284,"Alogo habot ni roha makkuling, makiskis, tading-tading ni hasonangon an","Alogo habot ni roha makkuling, tading-tading hasonangon."
bbc_4852,"Tung pe dang boi marnida, John ima baoa na gogo, na manggohi angka janjina jala ndang hea patuduhon lungun di hasusaon na.","John baoa na gogo, manggohi janji, ndang patuduhon lungun."
bbc_3132,"Inongna,patuduhon holong niroha na lembut,mangalului dang marnaso sampe ibana manjumpai na.","Inong patuduhon holong na lembut, mangalului dang marnaso."
bbc_6319,"Juppangku do poda sian botol, naisi na  pangido urup ni na mandele","Juppang poda sian botol, isi pangido urup ni na mandele."
bbc_815,"Tanganna tong do porhot, hot do maniop tukkot na manopang sa",Tanganna porhot maniop tukkot na manopang.
bbc_6279,Nunga martaontaon naung di dalani ibana mangarimangi ma ibana tu parbadaan i jala mamboan hadameon tu angka jolma i,"Mangarimangi tu parbadaan, mamboan hadameon tu jolma."
bbc_3189,Beta Hita pabalga anak ni sapi i.,Pangidoan pabalga anak ni sapi.
bbc_4188,"Andorangi, ibana nunga parade dirina tu haputusoni, alai saonari ibana mangande.","Nunga parade dirina, alai saonari mangande."
bbc_5807,"Tingki martahuak manuk i, laho ma si Mary mambuat aek sian sumur",Mary mambuat aek sian sumur dung martahuak manuk.
bbc_3921,ibana Sasara tedak Manggontam luhut jolma dohot mandokhon ala ibana Nunga pasidunghon Masala Sa,"Manggontam jolma, mandokhon nunga pasidunghon masala."
bbc_6195,"Pesta ganup taon i, i ma sian pamingkiranna",Pesta ganup taon sian pamingkiranna.
bbc_3585,"molo ibana boi Mangarait pa angka hitir Sa dohot hajadian ringkot di tingki salpu Sa, ibana naeng mangahap lobi denggan",Naeng mangarait hitir jala hajadian ringkot sian tingki salpu.
bbc_1120,"Ibana manungkun, ""Bu,dang hu boto boha sara patardashon panghilalaanhu, alai boi do au dohot maredangedang sikkola?",Manungkun cara patardashon panghilalaan di sikkola.
bbc_6340,Dibungka ibana ma pintu i jala masuk ma alogo na lambok i molo diruar ndang pola ngalian,"Bungka pintu, masuk alogo na lambok."
bbc_546,"Alai, tingki ibana pajumpang dohot begu na marupahon korban sian laut on, ibana angguk badar huhut patuduhon asi ni roha di parjoli halina","Pajumpang dohot begu sian laut, patuduhon asi ni roha."
bbc_3277,"Elijah, na mardomu dohot parhundul kota bagas aktipitas sadari ari, mangarihon pangatusion ma pande bagas olap halonguan nasida.",Elijah mangarihon pangatusion tu parhundul kota.
bbc_209,Barita ala simpanan si John naeng dipapinda tu museum kota marserak hatop,Barita simpanan si John naeng dipinda tu museum marserak.
bbc_3063,Baen ma peta na secara dos mawakilhon luasna gurun sahara.,Mambaen peta na mawakilhon luasna gurun sahara.
bbc_7024,"Tikki ima di dok imana tu dirina, mambaen haputuson.",Imana mandok tu dirina mambaen haputuson.
bbc_484,"Apala langit pe adong pelean na, ima por udan.","Langit pe adong pelean, ima por udan."
bbc_4694,"Ibana manafsirhon situasi tingki on, manjua gabe sahalak na munafik, jala mangakkui tampilan ganup sasude songon naadong.","Manafsirhon situasi, manjua gabe munafik."
bbc_2938,"Porlak on,sada pusat kora,ima inganan na menak jala","Porlak gabe pusat kora, inganan na menak."
bbc_4034,"Pintu gedung namatua on tongtong tarkucci, manjaga angka rahasiana totop tartabuni.","Pintu gedung tarkucci, manjaga rahasiana tartabuni."
bbc_2674,"Lam halaki mananda,lam halaki sonang rap hatolaponna lao manaikkon suasana roha.","Lam mananda, lam sonang rap hatolaponna."
bbc_5333,"Alai, ndang adong hasonangam na tudos songon holong na sian dainang, manang parungkilan na mangatasi hadangolonna.",Ndang adong hasonangan songon holong sian dainang.
bbc_3679,"Sabiji ari, anak Sa manggora angka hitir Sangga mida Saihur Omo-Omo",Anak manggora hitir sangga mida omo-omo.
bbc_1988,"Ibana mamuhai kuliahna, manuanhon antus ae biar tu parsikkola, alai andorang nasida mamereng hirasna, nasida tarinspirasi tu imana.","Mamuhai kuliah, manuanhon antus tu parsikkola."
bbc_2431,"Jala,halaki mamutushon lao manuan ragam-ragam hau na parbue lao mandai tu akka naro.",Mamutushon manuan ragam hau parbue tu akka naro.
bbc_4779,"Nasida mamutushon perencanaan marsatahap satahap, papeakhon haporseaon nasida di proses bahen mamastihon habarhasilon ni acara.","Perencanaan marsatahap, papeakhon haporseaon tu habarhasilon."
bbc_88,"Tingki dang pinda dope, marjabu di sada kota na ponjot do ibana.",Marjabu di kota na ponjot andorang so pinda.
bbc_7968,"Laoma,huhut unang paboa manang tu ise aha na ibaen ho","Lao, unang paboa tu ise aha na binahen."
bbc_6416,"sada ari, Ngoluna naeng muba andorang ibana ujungna boi manghabanghon hopal.",Ngoluna naeng muba dung boi manghabanghon hopal.
bbc_1661,"Ibana mambuha saluhut godung tu partobo, manjual marmansam barang tu nasida","Mambuha godung, manjual barang tu partobo."
bbc_3469,Sabiji Parulan ingkon dipadalan ngolu Sa ingkon dipasuhar,"Parulan ingkon dipadalan, dipasuhar ngolu."
bbc_7531,Au ra dang boi mamereng hasida tarida.,Ndang boi mamereng hasida tarida.
bbc_1597,"Bah, jolma na martanggung jawab i sintong do tulbas!",Jolma na martanggung jawab sintong do tulbas.
bbc_981,"Rabi i mangangkat manghandit jarijarina,  martingting tu hariana dohot burabura-burabufa, 'maupma nasida na manadinghon patik-patik debata!'","Rabi mangangkat jari, martingting tu halak na manadinghon patik."
bbc_5095,"Ibana naing manghatahon sada na ringkot, soarana attar manggirgir.",Naeng manghatahon na ringkot dohot soara manggirgir.
bbc_2917,"Mardomu ma tu hami,joma asing,jala molo domu i,ho ikkon mandapothon rasa na nampuna sada tu nalain.","Mardomu rap, mandapothon rasa na nampuna sada tu nalain."
bbc_540,Mansai godang do tampahan marsiajar manang pe pamajuhon diri dipatupa portibi on tu hita.,Godang tampahan marsiajar dipatupa portibi on.
bbc_3551,poda ni damang na manghorhonhon ibana manjalo  sa huhut mangadopi tihus dohot hagarangon.,Poda ni damang manjalo dohot mangadopi tihus.
bbc_5922,Alai ndang di ihuthon uluan i ulaon na i,Ndang diihuthon uluan ulaon na i.
bbc_4211,"Ganup hali tarbukka pintu, tingki hagolapon dohot parsitaonon songonna marlomolomo, jala ndang adong na barani mangguit.","Pintu tarbukka di hagolapon, ndang adong na barani mangguit."
bbc_7621,"Parhauma na matuai manabur boni habisukon tu akka anakonna, na  dilaonlaon ni ari naeng pangarundingon  hahaseaon nasida",Parhauma manabur boni habisukon tu anakonna.
bbc_4312,"Ibana mardalan manuju pintu, marsangkap masuk tu menara.","Mardalan manuju pintu, marsangkap masuk tu menara."
bbc_3398,"dagingJhon Nunga Sun di pardalanan, ibana Sun di borhat",Daging Jhon nunga sun di pardalanan dohot borhat.
bbc_4199,"Molo hamu ro tu son, Hamu giot manyadari mansai ringkotna dalan on, jala ansiat hasilna, Hamu inhkon mangargai bau ni aspal.","Ro tu son, manyadari ringkotna dalan, mangargai bau aspal."
bbc_3375,"Halaki manukkun boasa ibana mangande, sumurung Alana ibana sai mamparadehon Sarita angkiningan","Manukkun boasa mangande, alana mamparadehon sarita."
bbc_4905,ibana manotosi naeng mangalului parkarejo na pasangaphon bonton dagingna songon dohot sere,Mangalului parkarejo na pasangaphon bonton dagingna.
bbc_4922,"Baoa dohot binatang i, haduasa mambuat hosa, manghilala suasana dibagas inganan i mangaliati halaki.","Baoa dohot binatang mambuat hosa, manghilala suasana."
bbc_5670,"Muba do panaridaon ni langit i, jala adong do marhilong hilong","Panaridaon ni langit muba, adong marhilong-hilong."
bbc_435,"Maup ma tu angka na dang boi manjaha, molo boi disurat halaki pangingot di angka buhu on gabe i ma dalan na um denggan pagodanghon parbinotoan ni halaki sude.",Disurat pangingot di buhu pagodanghon parbinotoan.
bbc_1448,"Sangharimpang jolma, na sopola haringkoton na sarupa, dijaga asa haruar sian adaran.",Sangharimpang jolma dijaga sian adaran.
bbc_3032,Ibana ikkon mamillit hatigoran ibandinghon pangomoan sandiri.,Mamillit hatigoran ibandinghon pangomoan sandiri.
bbc_1338,"Au manjou murid-murid hu laho marsada dohot ahu, sipareakanna adongma parpustahaan, manimbil dohot hapuloan au na biasa, haroro ni halaki manggohi bilut dohot hangoluan nasida.","Manjou murid-murid marsada, adong parpustahaan."
bbc_6255,"Molo naung sae mangan, mulai karejo ma ibana gabe parbalasting, i ma na manjalo angka pajak di halak",Mulai karejo gabe parbalasting dung mangan.
bbc_1576,"Mapeut sian parsorionna, john mangarihon godang dongan na mangarihon hajogianna",John mangarihon godang dongan na mangarihon hajogianna.
bbc_810,"Andorang tung golap ari i, haroro halilu  gabe um paltak, sahat di pusuk buhit.",Haroro halilu gabe paltak sahat di pusuk buhit.
bbc_7451,"Ibana pittor mangalehon singot na karas, mandokkon ima na pinillit na songir","Mangalehon singot na karas, mandokkon na pinillit songir."
bbc_5034,"mapeut sian ni luhutna, Mei mandapothon ae tama huhut tarhatotong sian sude halak namananda ibana.","Mei mandapothon tama, tarhatotong sian halak na mananda."
bbc_7659,Ho ikkon inum sian galas hasusaan,Inum sian galas hasusaan.
bbc_7113,di jonok tondurtondur tardapot aek mansur na paborgo panondur.,Di jonok tondur tardapot aek mansur na paborgo.
bbc_3013,"Mamereng ekspresina,au boi mambege jantung na tarontokon,manyadari molo Hita dibagasan masala na balga.","Mamereng ekspresi, mambege jantung, manyadari masala balga."
bbc_3433,"iboto parompuan Sa tongtong marhata, Magnus ndada holan monang, ibana   mendominasi, Mambahen Sa gabe pemain na ruar somal.'","Magnus ndang holan monang, tapi mendominasi pemain."
bbc_5371,"Dang ulaon sian nasida i, alai angka hata haporseaon na laho mangalehon hagogoon.","Hata haporseaon mangalehon hagogoon, ndada ulaon."
bbc_5950,"Porsea do halak i boi di pasingkop nasida angka proyek na i, jala pos do roha nasida disi","Porsea boi pasingkop proyek, pos roha nasida."
bbc_2300,"Manang iboto au naeng lomos tontang tingki na jolo, biar ala boban-boban di ngoluna naeng mambahen imana Loja?","Mananda iboto lomos tontang tingki jolo, mambahen loja."
